age_range,stage,domain,activity,goal,difficulty_level
4-5,Kindergarten / Pre-Primary,art and music,Learn simple musical notation symbols,Introduce music literacy,hard
4-5,Kindergarten / Pre-Primary,art and music,Participate in a short performance using instruments,Promote teamwork and musical expression,medium
4-5,Kindergarten / Pre-Primary,art and music,Draw a story sequence in 3–4 pictures,Combine creativity and narrative skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Decorate a paper mask or hat,Enhance fine motor and creative skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Draw imaginary creatures,Stimulate imagination and creativity,medium
4-5,Kindergarten / Pre-Primary,art and music,Sing songs from different cultures,Promote cultural awareness and musical appreciation,medium
4-5,Kindergarten / Pre-Primary,art and music,Make a simple musical instrument from recycled materials,Combine creativity with sound exploration,medium
4-5,Kindergarten / Pre-Primary,art and music,Draw objects with attention to size and proportion,Develop observational and artistic skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Create patterns using stamps or natural materials,Enhance patterning and creativity,medium
4-5,Kindergarten / Pre-Primary,art and music,Perform a short rhythm sequence with claps and instruments,Develop timing and musical coordination,medium
4-5,Kindergarten / Pre-Primary,art and music,Draw a favorite story character,Encourage imagination and expression,medium
4-5,Kindergarten / Pre-Primary,art and music,Use paint brushes of different sizes to create textures,Develop fine motor skills and artistic exploration,medium
4-5,Kindergarten / Pre-Primary,art and music,Make a group mural collaboratively,Promote teamwork and creative collaboration,medium
4-5,Kindergarten / Pre-Primary,art and music,Create a simple rhythm using body percussion,Enhance musical timing and coordination,easy
4-5,Kindergarten / Pre-Primary,art and music,Decorate paper with stamping or printing techniques,Explore textures and patterns creatively,medium
4-5,Kindergarten / Pre-Primary,art and music,Draw a self-portrait focusing on facial features,Develop self-awareness and observational skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Sing and move to music with tempo changes,Develop listening skills and motor coordination,medium
4-5,Kindergarten / Pre-Primary,art and music,Create a pattern with colored beads or buttons,Enhance fine motor skills and sequencing,medium
4-5,Kindergarten / Pre-Primary,art and music,"Paint using sponge, cotton, and fingers to create textures",Explore creativity through tactile experience,medium
4-5,Kindergarten / Pre-Primary,art and music,Create simple musical patterns using xylophone notes,Introduce basic melody and rhythm skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Decorate a craft using natural materials collected outdoors,Combine creativity with observation of nature,medium
4-5,Kindergarten / Pre-Primary,art and music,Draw a scene from imagination including animals and people,Develop creativity and storytelling skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Make a simple rhythm band with peers,Promote teamwork and rhythmic coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,Hop on one foot for 5–10 seconds,Develop balance and coordination,easy
4-5,Kindergarten / Pre-Primary,physical education,Throw and catch a soft ball with a partner,Enhance hand-eye coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,Skip forward across a short distance,Develop rhythm and gross motor skills,medium
4-5,Kindergarten / Pre-Primary,physical education,Balance on a low beam or line,Enhance stability and focus,medium
4-5,Kindergarten / Pre-Primary,physical education,Run a short relay race with classmates,Build stamina and teamwork,medium
4-5,Kindergarten / Pre-Primary,physical education,Jump over small obstacles,Improve leg strength and agility,medium
4-5,Kindergarten / Pre-Primary,physical education,Participate in a simple obstacle course,Enhance coordination and problem-solving,medium
4-5,Kindergarten / Pre-Primary,physical education,Perform stretching exercises,Improve flexibility and body awareness,easy
4-5,Kindergarten / Pre-Primary,physical education,Hopscotch on drawn grids,Develop balance and number recognition,medium
4-5,Kindergarten / Pre-Primary,physical education,Kick a stationary ball towards a target,Enhance leg coordination and aim,medium
4-5,Kindergarten / Pre-Primary,physical education,Walk on tiptoes across a short distance,Improve balance and posture,easy
4-5,Kindergarten / Pre-Primary,physical education,Roll a ball to a partner,Develop coordination and social interaction,easy
4-5,Kindergarten / Pre-Primary,physical education,"Follow a leader in running, jumping, and stretching",Enhance listening skills and gross motor control,medium
4-5,Kindergarten / Pre-Primary,physical education,Perform jumping jacks in a small group,Improve cardiovascular fitness,medium
4-5,Kindergarten / Pre-Primary,physical education,Balance on one foot while counting aloud,Enhance balance and focus,medium
4-5,Kindergarten / Pre-Primary,physical education,Crawl through a tunnel or under a low barrier,Develop gross motor skills and spatial awareness,medium
4-5,Kindergarten / Pre-Primary,physical education,Hop forward on both feet over lines,Improve coordination and balance,medium
4-5,Kindergarten / Pre-Primary,physical education,Throw a beanbag into a basket,Develop aim and hand-eye coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,"Follow a movement sequence (jump, clap, spin)",Enhance memory and motor planning,medium
4-5,Kindergarten / Pre-Primary,physical education,Participate in a small group tag game,Build social skills and agility,medium
4-5,Kindergarten / Pre-Primary,physical education,Step over low hurdles or cones,Develop coordination and leg strength,medium
4-5,Kindergarten / Pre-Primary,physical education,Balance while holding an object in hands,Improve posture and concentration,medium
4-5,Kindergarten / Pre-Primary,physical education,Run forward and backward between two points,Enhance agility and endurance,medium
4-5,Kindergarten / Pre-Primary,physical education,Stretch arms and legs while counting aloud,Improve flexibility and cognitive-motor coordination,easy
4-5,Kindergarten / Pre-Primary,physical education,Jump forward from a marked line,Develop leg strength and coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,Walk along a zig-zag path,Improve balance and spatial awareness,medium
4-5,Kindergarten / Pre-Primary,physical education,Perform simple yoga poses like tree or cat stretch,Enhance flexibility and body awareness,medium
4-5,Kindergarten / Pre-Primary,physical education,Jump over small ropes laid on the floor,Develop agility and timing,medium
4-5,Kindergarten / Pre-Primary,physical education,Run in a figure-eight around cones,Enhance agility and directional change skills,medium
4-5,Kindergarten / Pre-Primary,physical education,Kick a ball toward a moving target,"Improve aim, timing, and coordination",medium
4-5,Kindergarten / Pre-Primary,physical education,Throw and catch with increasing distance,Develop arm strength and hand-eye coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,Walk heel-to-toe along a line,Enhance balance and concentration,medium
4-5,Kindergarten / Pre-Primary,physical education,Jump side-to-side over a rope or line,Develop lateral movement and coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,Crawl under low obstacles,Build gross motor strength and flexibility,medium
4-5,Kindergarten / Pre-Primary,physical education,Perform arm circles and stretches in sequence,Improve upper body flexibility and coordination,easy
4-5,Kindergarten / Pre-Primary,physical education,Play a simple game of dodge with soft balls,"Develop agility, reflexes, and spatial awareness",medium
4-5,Kindergarten / Pre-Primary,physical education,Balance while walking forward and backward,Enhance balance and directional control,medium
4-5,Kindergarten / Pre-Primary,physical education,Hop over numbered markers and count aloud,Combine coordination with early numeracy,medium
4-5,Kindergarten / Pre-Primary,physical education,"Perform a short sequence: jump, clap, spin, hop",Develop motor planning and coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,Run around cones in pairs without touching each other,"Enhance agility, spatial awareness, and teamwork",medium
4-5,Kindergarten / Pre-Primary,physical education,Jump forward and land softly on two feet,Improve leg strength and landing technique,medium
4-5,Kindergarten / Pre-Primary,physical education,Roll and retrieve a ball from a short distance,Develop hand-eye coordination and tracking skills,easy
4-5,Kindergarten / Pre-Primary,physical education,Step on colored markers in sequence,"Enhance memory, coordination, and color recognition",medium
4-5,Kindergarten / Pre-Primary,physical education,Jump onto a soft mat and land on both feet,"Develop strength, coordination, and safe landing",medium
4-5,Kindergarten / Pre-Primary,physical education,"Follow a hop, skip, jump sequence around cones",Develop gross motor sequencing and coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,Balance on one foot while tossing a soft ball to a partner,Combine balance with hand-eye coordination,medium
4-5,Kindergarten / Pre-Primary,physical education,"Move like different animals (bear crawl, frog jump)",Develop imagination and motor skills,medium
4-5,Kindergarten / Pre-Primary,physical education,Perform simple relay races with objects,"Enhance teamwork, speed, and coordination",medium
4-5,Kindergarten / Pre-Primary,physical education,Step in and out of hoops or ladder rungs,Develop agility and coordination,medium
