age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
52-54,social and emotional,Reflect on feelings after group play,Develop self-awareness and emotional expression,['Story prompts or discussion circle'],medium,15,indoor
52-54,social and emotional,Practice supporting peers in collaborative art projects,"Enhance teamwork, empathy, and creativity","['Art supplies, paints, paper, or blocks']",medium,20,indoor
52-54,gross motor,Run around obstacles without tripping,Enhance coordination and agility,['Cones or markers'],medium,15,outdoor
52-54,gross motor,Hop on one foot for a short distance,Develop balance and leg strength,['Flat safe surface'],medium,10,both
52-54,gross motor,Jump forward over small objects,Improve leg strength and coordination,['Small foam blocks or mats'],medium,10,both
52-54,gross motor,Climb up and down small ladders or steps,Develop upper and lower body strength,['Small ladder or climbing structure'],medium,15,outdoor
52-54,gross motor,Walk on a balance beam or line,Enhance balance and concentration,['Balance beam or tape line on floor'],medium,10,both
52-54,gross motor,Ride a tricycle or small bicycle with training wheels,"Develop leg strength, balance, and coordination","['Tricycle or small bicycle, helmet']",medium,20,outdoor
52-54,gross motor,Throw and catch a ball with a partner,Enhance hand-eye coordination and timing,['Soft ball or beanbag'],medium,15,both
52-54,gross motor,Kick a ball towards a target,"Develop leg strength, aim, and coordination","['Ball, target markers']",medium,15,outdoor
52-54,gross motor,Skip forward using alternate feet,"Improve coordination, rhythm, and leg strength",['Open safe space'],medium,10,both
52-54,gross motor,Jump over a rope laid on the ground,Enhance jumping skills and balance,['Rope or soft cord'],medium,10,both
52-54,gross motor,Crawl under or over low obstacles,Develop agility and spatial awareness,"['Small obstacles, chairs, or cones']",medium,15,both
52-54,gross motor,Play simple tag games,"Enhance endurance, speed, and agility",['Open safe space'],medium,20,outdoor
52-54,gross motor,Balance on one foot for 5–10 seconds,Improve balance and core stability,['Flat safe surface'],medium,10,both
52-54,gross motor,Climb playground structures safely,Enhance upper and lower body strength and coordination,['Playground or climbing frame'],medium,20,outdoor
52-54,gross motor,Hopscotch using numbered squares,"Develop coordination, balance, and number recognition","['Chalk or tape, open space']",medium,15,outdoor
52-54,gross motor,Perform simple stretching exercises,Improve flexibility and body awareness,['Mat or soft surface'],easy,10,indoor
52-54,gross motor,Walk backward along a straight line,Enhance coordination and spatial awareness,['Tape line or chalk'],medium,10,both
52-54,gross motor,"Perform animal walks (bear, crab, frog)","Develop strength, coordination, and balance",['Open safe space'],medium,15,both
52-54,gross motor,Throw a ball into a basket from a short distance,Improve aim and hand-eye coordination,"['Ball, basket or container']",medium,15,both
52-54,gross motor,Jump side to side over a rope,Enhance lateral coordination and agility,['Rope or soft cord'],medium,10,both
52-54,gross motor,Run relay races with friends,"Develop speed, coordination, and teamwork","['Markers or cones, open space']",medium,20,outdoor
52-54,gross motor,Hop over small obstacles in sequence,"Enhance coordination, balance, and leg strength","['Cones, soft blocks, or mats']",medium,15,both
52-54,gross motor,Climb stairs or ramps safely,Develop leg strength and coordination,['Stairs or ramp in safe area'],medium,10,both
52-54,gross motor,Balance on tiptoes while walking forward,Improve balance and core strength,['Flat safe surface'],medium,10,both
52-54,gross motor,Play parachute games with friends,"Enhance teamwork, coordination, and gross motor skills",['Play parachute or large cloth'],medium,20,both
52-54,gross motor,Run zigzag through cones,"Enhance agility, speed, and coordination",['Cones or markers'],medium,15,outdoor
52-54,gross motor,Jump into and out of hoops,Develop leg strength and coordination,['Hoops or rings'],medium,10,both
52-54,gross motor,Perform side-to-side hops over a line,Enhance lateral movement and balance,['Tape line or chalk line'],medium,10,both
52-54,gross motor,Climb a rope ladder with assistance,Build upper body and coordination skills,"['Rope ladder, safe support area']",medium,15,outdoor
52-54,gross motor,Walk heel-to-toe along a straight line,Develop balance and precision,['Tape line or chalk line'],medium,10,both
52-54,gross motor,Run backward for a short distance,Improve coordination and spatial awareness,['Open safe space'],medium,10,both
52-54,gross motor,Play hop-and-skip relay races,"Enhance leg strength, coordination, and teamwork","['Open space, markers or cones']",medium,20,outdoor
52-54,gross motor,Throw and catch beanbags into a target,"Develop aim, coordination, and hand-eye skills","['Beanbags, basket or target']",medium,15,both
52-54,gross motor,Climb over and crawl under soft obstacles,Enhance agility and spatial awareness,"['Soft mats, chairs, or blocks']",medium,15,both
52-54,gross motor,Balance on a wobble board or cushion,Improve core strength and balance,['Wobble board or cushion'],medium,10,indoor
52-54,gross motor,Hop forward using both feet together,Develop leg strength and coordination,['Open safe space'],medium,10,both
52-54,gross motor,Jump from one colored mat to another,"Enhance coordination, balance, and spatial awareness",['Colored mats or foam squares'],medium,10,indoor
52-54,gross motor,Run in a zigzag pattern around cones,"Improve agility, speed, and control",['Cones or markers'],medium,15,outdoor
52-54,gross motor,Perform frog jumps from a squat position,Strengthen legs and improve jumping technique,['Soft floor or mat'],medium,10,both
52-54,gross motor,Play simple dodgeball with soft balls,"Enhance reflexes, coordination, and teamwork","['Soft balls, open space']",medium,20,both
52-54,gross motor,Climb and descend a small climbing wall,"Improve strength, coordination, and confidence",['Climbing wall or safe climbing structure'],medium,20,outdoor
52-54,gross motor,Walk along a zigzag line on the floor,Enhance balance and coordination,['Tape or chalk line'],medium,10,both
52-54,gross motor,Hop over low hurdles in sequence,Develop leg strength and rhythm,['Small hurdles or foam blocks'],medium,15,both
52-54,gross motor,Crawl through tunnels or under ropes,"Enhance agility, coordination, and fun movement","['Tunnels, ropes, or chairs']",medium,15,both
52-54,gross motor,Play parachute lifting and lowering games,"Develop teamwork, coordination, and gross motor strength",['Play parachute or large cloth'],medium,20,both
52-54,gross motor,"Perform animal walks across room (bear, crab, frog)","Improve strength, balance, and coordination",['Open safe space'],medium,15,both
52-54,gross motor,Run in relay games with team members,"Enhance speed, teamwork, and coordination","['Open space, markers or cones']",medium,20,outdoor
52-54,gross motor,Balance on a beam or curb with minimal support,Develop balance and confidence in movement,['Balance beam or curb'],medium,10,both
52-54,gross motor,Jump forward from one mat to another,"Enhance coordination, leg strength, and spatial awareness",['Soft mats or foam squares'],medium,10,indoor
52-54,gross motor,Play follow-the-leader running and hopping game,"Develop coordination, agility, and social interaction",['Open safe space'],medium,20,both
52-54,fine motor,"Trace simple shapes like circles, squares, and triangles",Develop hand-eye coordination and pre-writing skills,"['Paper, crayons or pencils']",medium,15,indoor
52-54,fine motor,Thread beads onto a string,"Enhance dexterity, finger strength, and concentration","['Beads, string']",medium,15,indoor
52-54,fine motor,Cut along straight and curved lines using scissors,Develop scissor skills and hand control,"['Safety scissors, paper']",medium,15,indoor
52-54,fine motor,"Draw simple objects like houses, trees, and flowers",Encourage creativity and improve hand control,"['Paper, crayons, pencils']",medium,20,indoor
52-54,fine motor,Practice writing letters A–Z,Develop pre-writing and literacy skills,"['Paper, pencils, or markers']",medium,20,indoor
52-54,fine motor,Build towers using small blocks or LEGO,Enhance hand-eye coordination and spatial reasoning,"['Blocks, LEGO']",medium,20,indoor
52-54,fine motor,Fold paper to make simple origami shapes,"Improve precision, focus, and dexterity",['Colored paper'],medium,20,indoor
52-54,fine motor,Use tweezers to pick up small objects,Strengthen finger muscles and coordination,"['Tweezers, beads or buttons']",medium,15,indoor
52-54,fine motor,String pasta or cereal onto yarn,Develop fine motor precision and pattern recognition,"['Yarn, pasta or cereal with holes']",medium,15,indoor
52-54,fine motor,"Draw people with heads, arms, and legs",Enhance fine motor skills and observation,"['Paper, crayons or pencils']",medium,20,indoor
52-54,fine motor,Paint with brushes of different sizes,"Develop creativity, hand control, and coordination","['Paper, paint, brushes']",medium,20,indoor
52-54,fine motor,"Twist, turn, and manipulate puzzle pieces",Enhance problem-solving and fine motor skills,['Simple puzzles'],medium,15,indoor
52-54,fine motor,Use clothespins to pick and hang small objects,Strengthen finger muscles and coordination,"['Clothespins, small paper or lightweight objects']",medium,15,indoor
52-54,fine motor,Trace letters using a sand tray or finger paint,Develop pre-writing skills and tactile awareness,"['Sand tray or finger paint, paper']",medium,15,indoor
52-54,fine motor,Make simple collages by tearing and pasting paper,"Enhance creativity, hand strength, and coordination","['Paper, glue, scissors']",medium,20,indoor
52-54,fine motor,"Draw patterns like zigzags, waves, and dots",Improve hand control and pattern recognition,"['Paper, pencils, crayons']",medium,15,indoor
52-54,fine motor,Practice writing numbers 1–20,Enhance early numeracy and fine motor skills,"['Paper, pencils, or markers']",medium,20,indoor
52-54,fine motor,Roll clay or playdough into snakes and balls,Develop hand strength and dexterity,['Clay or playdough'],medium,15,indoor
52-54,fine motor,Cut out simple shapes from colored paper,Enhance scissor skills and hand-eye coordination,"['Safety scissors, colored paper']",medium,15,indoor
52-54,fine motor,Draw lines connecting matching items,Improve precision and visual-motor integration,"['Worksheets, pencils or crayons']",medium,15,indoor
52-54,fine motor,Create simple string art using pins and thread,"Develop creativity, planning, and hand coordination","['Pins, cardboard, thread']",medium,20,indoor
52-54,fine motor,Pick up small objects using fingers and place in containers,Strengthen pincer grip and hand-eye coordination,"['Small beads, buttons, containers']",medium,15,indoor
52-54,fine motor,"Draw faces with eyes, nose, and mouth",Enhance observation and fine motor control,"['Paper, crayons, or markers']",medium,15,indoor
52-54,fine motor,Stack small blocks to create patterns or towers,Develop hand control and spatial awareness,['Blocks or LEGO'],medium,15,indoor
52-54,fine motor,Paint or color within outlined shapes,Enhance hand-eye coordination and precision,"['Paper, paint or crayons']",medium,20,indoor
52-54,fine motor,Use stamps or stickers to create designs,Develop creativity and finger precision,"['Stamps, ink pads, stickers, paper']",medium,15,indoor
52-54,fine motor,Practice buttoning and unbuttoning clothes,Enhance finger dexterity and independence,['Shirt or dressing board with buttons'],medium,10,indoor
52-54,fine motor,Use a pencil to connect dots to form pictures,Improve precision and visual-motor coordination,"['Dot-to-dot worksheets, pencil']",medium,15,indoor
52-54,fine motor,Weave paper strips to make simple patterns,Develop hand coordination and creativity,"['Colored paper strips, scissors, glue']",medium,20,indoor
52-54,fine motor,Use clay to model simple objects like fruits or animals,"Enhance creativity, hand strength, and dexterity","['Clay or playdough, modeling tools']",medium,20,indoor
52-54,fine motor,Twist and turn lids on jars or containers,Strengthen wrist and finger muscles,['Small jars or containers with lids'],medium,10,indoor
52-54,fine motor,Practice using scissors to cut along dotted lines,Improve scissor control and accuracy,"['Safety scissors, paper with dotted lines']",medium,15,indoor
52-54,fine motor,Create patterns with stickers on paper,"Enhance creativity, focus, and fine motor precision","['Stickers, paper']",medium,15,indoor
52-54,fine motor,Fold napkins or paper into simple shapes,Develop hand coordination and following instructions,['Paper or napkins'],medium,10,indoor
52-54,fine motor,Use a spoon to transfer small objects between containers,Enhance hand-eye coordination and pincer grip,"['Spoon, small beads or beans, containers']",medium,15,indoor
52-54,fine motor,Draw patterns on sand or salt trays using fingers,Improve tactile awareness and pre-writing skills,"['Tray, sand or salt']",medium,15,indoor
52-54,fine motor,Thread pasta pieces onto a string in patterns,Develop hand-eye coordination and pattern recognition,"['Pasta with holes, string']",medium,15,indoor
52-54,fine motor,Create simple jewelry with beads and strings,Enhance fine motor dexterity and creativity,"['Beads, string, scissors']",medium,20,indoor
52-54,fine motor,Use finger paints to create handprint art,Develop creativity and tactile coordination,"['Finger paints, paper']",medium,20,indoor
52-54,fine motor,Trace letters and numbers in a workbook,Reinforce literacy and numeracy skills,"['Workbook, pencil or crayon']",medium,20,indoor
52-54,fine motor,Cut shapes from foam sheets and glue onto paper,Enhance creativity and precision cutting skills,"['Foam sheets, safety scissors, glue']",medium,20,indoor
52-54,fine motor,Paint or color inside stencils,Improve precision and hand control,"['Stencils, paper, paint or crayons']",medium,15,indoor
52-54,fine motor,Create finger puppets using paper or felt,Enhance creativity and fine motor dexterity,"['Paper or felt, scissors, glue']",medium,20,indoor
52-54,fine motor,Draw and cut out animal shapes,Improve hand-eye coordination and cutting skills,"['Paper, safety scissors, crayons']",medium,20,indoor
52-54,fine motor,Roll playdough into balls and snakes,Strengthen fingers and improve dexterity,['Playdough or clay'],medium,15,indoor
52-54,fine motor,Create patterns by stamping shapes,Develop creativity and precision,"['Stamps, ink pads, paper']",medium,15,indoor
52-54,fine motor,Practice using a hole punch to make designs,Enhance hand-eye coordination and precision,"['Hole punch, paper']",medium,15,indoor
52-54,fine motor,Match small objects into pairs using tweezers,Develop pincer grip and coordination,"['Tweezers, small objects like beads or buttons']",medium,15,indoor
52-54,fine motor,Make simple paper chains by linking strips,Enhance dexterity and pattern recognition,"['Paper strips, glue or tape']",medium,20,indoor
52-54,fine motor,Paint using cotton swabs for small details,Develop precision and hand control,"['Cotton swabs, paint, paper']",medium,15,indoor
52-54,daily life / self help,"Dress independently including buttons, zippers, and snaps",Develop independence and fine motor skills,"['Clothes with buttons, zippers, and snaps']",medium,15,indoor
52-54,daily life / self help,Brush teeth independently with proper technique,Promote personal hygiene and independence,"['Toothbrush, toothpaste']",medium,10,indoor
52-54,daily life / self help,Pour water from one container to another without spilling,Improve coordination and independence,"['Cups, small containers']",medium,10,indoor
52-54,daily life / self help,Carry small trays or objects safely,Develop balance and responsibility,['Trays or small objects'],medium,10,indoor
52-54,daily life / self help,Sweep or mop small areas with assistance,Teach responsibility and coordination,"['Broom, mop, small bucket']",medium,15,indoor
52-54,daily life / self help,Fold simple clothes like towels and napkins,Develop organization skills and fine motor control,"['Towels, napkins']",medium,10,indoor
52-54,daily life / self help,Set the table for meals,Develop independence and understanding of routines,"['Plates, cups, utensils, placemats']",medium,15,indoor
52-54,daily life / self help,Wash hands thoroughly before and after meals,Promote hygiene and self-care habits,"['Soap, water, towel']",medium,5,indoor
52-54,daily life / self help,Clean up toys and materials after use,Develop responsibility and organization,"['Storage bins, shelves']",medium,10,indoor
52-54,daily life / self help,Water plants carefully,Encourage responsibility and gentle handling,"['Watering can, plants']",medium,10,both
52-54,daily life / self help,Use napkins and tissues properly,Promote hygiene and self-care habits,"['Napkins, tissues']",easy,5,indoor
52-54,daily life / self help,Pour cereal or snacks into bowls,Enhance independence and coordination,"['Cereal, bowls, spoons']",medium,10,indoor
52-54,daily life / self help,Wipe spills using cloth or paper towels,Develop problem-solving and responsibility,"['Cloth, paper towels, small bucket']",medium,10,indoor
52-54,daily life / self help,Put shoes on independently,Enhance self-care skills and fine motor control,"['Shoes, socks']",medium,10,indoor
52-54,daily life / self help,Organize personal belongings in cubbies,Develop responsibility and organizational skills,['Cubbies or storage bins'],medium,10,indoor
52-54,daily life / self help,Assist in simple meal preparation like washing vegetables,Promote independence and practical life skills,"['Vegetables, bowl, water']",medium,15,indoor
52-54,daily life / self help,Put on and remove a hat or scarf,Develop self-dressing skills,"['Hat, scarf']",medium,5,both
52-54,daily life / self help,Use a fork and spoon correctly during meals,Promote self-feeding skills and independence,"['Utensils, plate, food']",medium,15,indoor
52-54,daily life / self help,Fold and put away napkins after meals,Encourage responsibility and organization,"['Napkins, tray or shelf']",medium,5,indoor
52-54,daily life / self help,Open and close containers and jars safely,Develop hand strength and coordination,['Small jars or containers'],medium,10,indoor
52-54,daily life / self help,Practice wiping tables after meals,Promote responsibility and cleanliness,"['Cloth, water, mild soap']",medium,10,indoor
52-54,daily life / self help,Arrange books on shelves neatly,Enhance organization and responsibility,"['Books, shelves or storage bins']",medium,10,indoor
52-54,daily life / self help,Assist in simple cleaning tasks like dusting low surfaces,Develop responsibility and coordination,"['Cloth or duster, safe surfaces']",medium,10,indoor
52-54,daily life / self help,Pack and unpack a small backpack independently,Enhance organizational skills and independence,"['Small backpack, toys or materials']",medium,15,both
52-54,daily life / self help,Use a tissue to blow nose properly,Promote hygiene and self-care skills,['Tissue'],easy,5,indoor
52-54,daily life / self help,Wipe windows or mirrors with a cloth,Develop coordination and responsibility,"['Cloth, water or mild cleaner']",medium,15,indoor
52-54,daily life / self help,Open and close doors gently,Develop motor control and awareness,['Doors or cabinet doors'],easy,5,indoor
52-54,daily life / self help,Practice using a small watering can outdoors,Enhance coordination and responsibility,"['Small watering can, plants']",medium,10,outdoor
52-54,daily life / self help,Fold small blankets or sheets,Develop organization skills and hand coordination,['Blankets or small sheets'],medium,10,indoor
52-54,daily life / self help,Pour juice or water into cups without spilling,"Improve precision, independence, and coordination","['Pitcher, cups, juice or water']",medium,10,indoor
52-54,daily life / self help,Pick up toys from the floor and place in storage,Develop responsibility and organization skills,"['Toys, storage bins']",medium,10,indoor
52-54,daily life / self help,Wipe tables after snack time,Encourage cleanliness and responsibility,"['Cloth, water or mild cleaner']",medium,10,indoor
52-54,daily life / self help,Sort laundry by color or type,Develop categorization and organization skills,"['Laundry items, baskets']",medium,15,indoor
52-54,daily life / self help,Practice wiping shoes before entering,Teach cleanliness and responsibility,['Doormat or cloth'],easy,5,both
52-54,daily life / self help,Pack a small snack bag independently,Promote independence and organizational skills,"['Snack bag, snacks']",medium,10,indoor
52-54,daily life / self help,Fold and store used napkins,Develop responsibility and neatness,"['Napkins, storage area']",medium,5,indoor
52-54,daily life / self help,Assist in arranging chairs for meals or activities,Encourage participation and spatial awareness,"['Chairs, mats or tables']",medium,10,indoor
52-54,daily life / self help,Clean small spills with a mop or cloth,Teach responsibility and coordination,"['Cloth or small mop, water']",medium,10,indoor
52-54,daily life / self help,Put away art and craft materials after use,Develop responsibility and organization skills,"['Art supplies, storage containers']",medium,10,indoor
52-54,daily life / self help,Prepare simple snack plates with supervision,Enhance independence and practical life skills,"['Fruits, small plates, utensils']",medium,15,indoor
52-54,daily life / self help,Practice wiping hands and face after meals,Encourage hygiene and self-care habits,"['Napkins, towels']",easy,5,indoor
52-54,daily life / self help,Assist in wiping chairs and tables after meals,Promote responsibility and cleanliness,"['Cloth, water, mild cleaner']",medium,10,indoor
52-54,daily life / self help,Organize personal belongings in individual bins,Enhance organization and independence,['Bins or containers'],medium,10,indoor
52-54,daily life / self help,Assist in folding small laundry items,Develop fine motor skills and responsibility,['Small laundry items'],medium,10,indoor
52-54,daily life / self help,Practice opening and closing simple locks or latches,Enhance hand strength and coordination,['Small locks or latches'],medium,10,indoor
52-54,daily life / self help,Assist in cleaning and organizing shelves,Develop responsibility and spatial awareness,"['Cloth, shelves, small storage boxes']",medium,15,indoor
52-54,daily life / self help,Practice putting on and removing simple jackets,Enhance self-dressing skills and independence,['Light jacket or sweater'],medium,10,both
52-54,daily life / self help,Assist in organizing snack or lunch boxes,Develop organizational skills and responsibility,"['Snack or lunch boxes, compartments']",medium,10,indoor
52-54,daily life / self help,Practice wiping hands after messy play,Encourage hygiene and self-care skills,"['Cloth, towel, soap if needed']",easy,5,indoor
52-54,daily life / self help,Assist in putting toys and books in proper order,Promote organization and responsibility,"['Toys, books, storage shelves or bins']",medium,10,indoor
52-54,creativity and imagination,"Invent short stories with a beginning, middle, and end",Develop storytelling and imagination skills,"['Paper, crayons, storytelling props']",medium,20,indoor
52-54,creativity and imagination,Create artwork using different colors and textures,Enhance creativity and sensory exploration,"['Paper, paints, brushes, textured materials']",medium,25,indoor
52-54,creativity and imagination,Use blocks to construct imaginative buildings or scenes,Promote spatial awareness and creativity,"['Blocks, building materials']",medium,20,indoor
52-54,creativity and imagination,Act out stories with puppets or toys,"Enhance creativity, role-play, and narrative skills","['Puppets, toys, play space']",medium,20,indoor
52-54,creativity and imagination,Experiment with mixing colors in painting,Develop creativity and understanding of color combinations,"['Paints, paper, brushes']",medium,20,indoor
52-54,creativity and imagination,Build simple story-based scenes with clay,Enhance imaginative thinking and fine motor skills,"['Clay or playdough, tools']",medium,25,indoor
52-54,creativity and imagination,Create collages using magazine cutouts,Promote creativity and visual composition skills,"['Magazines, glue, paper, scissors']",medium,25,indoor
52-54,creativity and imagination,Draw imaginary animals and name them,Enhance imagination and creativity,"['Paper, crayons or pencils']",medium,20,indoor
52-54,creativity and imagination,Make up songs or rhymes with gestures,"Promote creativity, language, and rhythm",['Music props or instruments (optional)'],medium,15,indoor
52-54,creativity and imagination,Use natural materials like leaves or stones for art,Encourage creativity and environmental awareness,"['Leaves, stones, glue, paper']",medium,25,outdoor
52-54,creativity and imagination,Create paper masks and pretend to be different characters,Enhance imaginative play and creativity,"['Paper, scissors, colors, elastic bands']",medium,25,indoor
52-54,creativity and imagination,Paint or draw emotions on faces,Develop creativity and emotional understanding,"['Paper, paints or crayons']",medium,20,indoor
52-54,creativity and imagination,Use recycled materials to build imaginative objects,"Promote creativity, problem-solving, and sustainability","['Recyclable boxes, bottles, glue, tape']",medium,25,both
52-54,creativity and imagination,Act out favorite storybooks with friends,"Develop imagination, collaboration, and narrative skills","['Storybooks, props']",medium,25,indoor
52-54,creativity and imagination,Draw and color their dream house or playground,Enhance creativity and visualization skills,"['Paper, crayons, colored pencils']",medium,25,indoor
52-54,creativity and imagination,Create a story using picture cards,Develop narrative thinking and imagination,['Picture cards or printed images'],medium,20,indoor
52-54,creativity and imagination,Construct a miniature town using blocks and toys,"Promote creativity, planning, and spatial skills","['Blocks, toy figures, small accessories']",medium,25,indoor
52-54,creativity and imagination,Draw a comic strip with simple characters,Enhance storytelling and creativity,"['Paper, crayons or pencils']",medium,25,indoor
52-54,creativity and imagination,Create a treasure map and pretend to go on a quest,Develop imagination and problem-solving,"['Paper, markers, props for treasure']",medium,25,both
52-54,creativity and imagination,Use finger paints to create abstract art,Enhance creativity and sensory exploration,"['Finger paints, paper']",medium,20,indoor
52-54,creativity and imagination,Decorate boxes or jars for imaginative play,Encourage creativity and fine motor skills,"['Boxes or jars, paints, stickers']",medium,25,indoor
52-54,creativity and imagination,Make simple costumes for role play,"Promote imagination, creativity, and self-expression","['Old clothes, fabric scraps, glue, scissors']",medium,25,indoor
52-54,creativity and imagination,Create and perform a mini puppet show,"Develop creativity, storytelling, and public speaking","['Puppets, paper stage, props']",medium,25,indoor
52-54,creativity and imagination,Invent a new character and draw their adventures,"Enhance imagination, creativity, and drawing skills","['Paper, pencils, crayons']",medium,25,indoor
52-54,creativity and imagination,Use playdough to create imaginary foods or creatures,Promote creativity and fine motor development,"['Playdough or clay, tools']",medium,25,indoor
52-54,creativity and imagination,Design a new vehicle using blocks or recycled materials,"Enhance creativity, problem-solving, and construction skills","['Blocks, recycled materials, glue, tape']",medium,25,both
52-54,creativity and imagination,Create a storybook with illustrations,Develop narrative skills and creativity,"['Paper, crayons, colored pencils, stapler']",medium,30,indoor
52-54,creativity and imagination,Make an imaginative collage using natural items,Encourage creativity and exploration of nature,"['Leaves, twigs, glue, paper']",medium,25,outdoor
52-54,creativity and imagination,Draw a map of an imaginary island,Develop spatial awareness and imagination,"['Paper, pencils, colors']",medium,25,indoor
52-54,creativity and imagination,Create musical instruments from recycled items,"Promote creativity, sound exploration, and fine motor skills","['Bottles, cans, rubber bands, sticks']",medium,25,both
52-54,creativity and imagination,Act out a favorite fairy tale with friends,"Enhance imagination, collaboration, and storytelling","['Props, costumes, storybooks']",medium,25,indoor
52-54,creativity and imagination,Create a fantasy garden with blocks or natural items,"Encourage creativity, planning, and environmental awareness","['Blocks, stones, leaves, small plants']",medium,25,outdoor
52-54,creativity and imagination,Design a costume for a favorite character,"Develop creativity, fine motor skills, and self-expression","['Fabric scraps, glue, scissors, paper']",medium,25,indoor
52-54,creativity and imagination,Create a miniature zoo using toys,Encourage imaginative play and organization skills,"['Toy animals, blocks, trays']",medium,25,indoor
52-54,creativity and imagination,Invent a superhero and draw their adventures,"Promote imagination, storytelling, and creativity","['Paper, pencils, crayons']",medium,25,indoor
52-54,creativity and imagination,Build a castle or fortress using blocks or clay,"Enhance creativity, planning, and fine motor skills","['Blocks, clay, tools']",medium,25,both
52-54,creativity and imagination,Draw or paint a mythical creature,Encourage creativity and imaginative thinking,"['Paper, paints, brushes, crayons']",medium,25,indoor
52-54,creativity and imagination,Create a comic with characters and dialogue,"Develop narrative skills, creativity, and fine motor control","['Paper, pencils, markers']",medium,30,indoor
52-54,creativity and imagination,Use fabric scraps to make imaginative hats or accessories,"Enhance creativity, fine motor skills, and self-expression","['Fabric scraps, glue, scissors']",medium,25,indoor
52-54,creativity and imagination,Make a paper boat and pretend it sails to an imaginary place,Promote imaginative play and creativity,"['Paper, water tray or bowl']",medium,20,both
52-54,creativity and imagination,Build an obstacle course for toys or self,"Encourage creativity, planning, and physical coordination","['Toys, cushions, small props']",medium,25,both
52-54,creativity and imagination,Design a treasure chest and create treasures,"Develop imagination, creativity, and fine motor skills","['Boxes, paper, stickers, small objects']",medium,25,indoor
52-54,creativity and imagination,Create paper animals and use them in role-play,"Enhance creativity, storytelling, and fine motor skills","['Paper, scissors, colors, glue']",medium,25,indoor
52-54,creativity and imagination,Invent a game and create rules for friends to play,"Encourage creativity, logical thinking, and social skills","['Paper, markers, toys or props']",medium,30,both
52-54,creativity and imagination,Create imaginative landscapes using sand or clay,Develop creativity and fine motor skills,"['Sand, clay, small tools']",medium,25,both
52-54,creativity and imagination,Draw a self-portrait and add imaginary features,Encourage creativity and self-expression,"['Paper, crayons, colored pencils']",medium,25,indoor
52-54,creativity and imagination,Make a collage using different shapes and textures,"Enhance creativity, fine motor skills, and artistic sense","['Paper, scissors, glue, colored papers, fabric scraps']",medium,30,indoor
52-54,creativity and imagination,Use finger paints to create imaginative patterns,Develop creativity and sensory exploration,"['Finger paints, paper']",medium,20,indoor
52-54,creativity and imagination,Create a puppet character and tell a story about them,"Enhance imagination, creativity, and narrative skills","['Puppets, paper, markers']",medium,25,indoor
52-54,creativity and imagination,Design a magical world on paper and describe it,Encourage imaginative thinking and storytelling,"['Paper, pencils, crayons, markers']",medium,30,indoor
52-54,montessori sensorial and academic,Count objects from 1 to 20 using beads,Develop counting skills and number recognition,"['Beads, string or trays']",medium,15,indoor
52-54,montessori sensorial and academic,Identify letters from A to Z using sandpaper letters,Enhance letter recognition and tactile learning,"['Sandpaper letters, tray']",medium,15,indoor
52-54,montessori sensorial and academic,Match uppercase and lowercase letters,Develop letter recognition and matching skills,['Letter cards or printouts'],medium,15,indoor
52-54,montessori sensorial and academic,"Sort objects by color, shape, or size",Enhance classification and observation skills,"['Objects of different colors, shapes, sizes']",medium,20,indoor
52-54,montessori sensorial and academic,Sequence daily routine picture cards,Develop understanding of sequences and order,['Picture cards of daily activities'],medium,15,indoor
52-54,montessori sensorial and academic,Practice simple addition using counters,Introduce basic arithmetic concepts,"['Counters, number cards']",medium,20,indoor
52-54,montessori sensorial and academic,Practice simple subtraction using counters,Develop understanding of subtraction,"['Counters, number cards']",medium,20,indoor
52-54,montessori sensorial and academic,Match numbers with corresponding quantities,Enhance number recognition and counting skills,"['Number cards, objects or counters']",medium,15,indoor
52-54,montessori sensorial and academic,Identify geometric shapes in the environment,Develop shape recognition and observation skills,['Shape cards or objects'],medium,15,both
52-54,montessori sensorial and academic,Trace letters in sand or salt tray,Enhance fine motor skills and letter formation,"['Tray, sand or salt, pointer']",medium,15,indoor
52-54,montessori sensorial and academic,Sort objects by weight using balance scale,Develop understanding of weight and comparison,"['Balance scale, objects of different weights']",medium,20,indoor
52-54,montessori sensorial and academic,Match sounds using musical bells,Enhance auditory discrimination and memory,['Musical bells or sound-making objects'],medium,20,indoor
52-54,montessori sensorial and academic,Sort objects by texture using touch,Develop tactile discrimination and observation,['Objects with different textures'],medium,15,indoor
52-54,montessori sensorial and academic,Recognize and match patterns with cards,Enhance pattern recognition and cognitive skills,['Pattern cards or printed sheets'],medium,15,indoor
52-54,montessori sensorial and academic,Practice identifying primary and secondary colors,Develop color recognition skills,"['Color cards, paints, or objects']",medium,15,indoor
52-54,montessori sensorial and academic,Match numeral cards to objects in the classroom,Reinforce counting and number recognition,"['Number cards, classroom objects']",medium,15,indoor
52-54,montessori sensorial and academic,Place objects in order of size,Develop understanding of size sequencing,['Objects of varying sizes'],medium,15,indoor
52-54,montessori sensorial and academic,"Sort cards by category (animals, objects, plants)",Enhance categorization and cognitive skills,['Category cards or images'],medium,15,indoor
52-54,montessori sensorial and academic,Trace shapes on paper or sand tray,Develop fine motor skills and shape recognition,"['Paper, pencils, or sand tray']",medium,15,indoor
